Servo Motion,Servo Position,Flex Sensor Value,EMG Sensor Value,EMG Sensor Voltage
Finger Closing,90,422,35,171.07
Finger Closing,91,420,33,161.29
Finger Closing,92,420,38,185.73
Finger Closing,93,420,33,161.29
Finger Closing,94,420,43,210.17
Finger Closing,95,421,38,185.73
Finger Closing,96,421,63,307.92
Finger Closing,97,421,57,278.59
Finger Closing,98,421,63,307.92
Finger Closing,99,421,62,303.03
Finger Closing,100,420,60,293.26
Finger Closing,101,415,66,322.58
Finger Closing,102,413,53,259.04
Finger Closing,103,413,80,391.01
Finger Closing,104,411,67,327.47
Finger Closing,105,410,94,459.43
Finger Closing,106,411,78,381.23
Finger Closing,107,411,79,386.12
Finger Closing,108,410,64,312.81
Finger Closing,109,408,80,391.01
Finger Closing,110,407,69,337.24
Finger Closing,111,410,89,435
Finger Closing,112,408,76,371.46
Finger Closing,113,407,69,337.24
Finger Closing,114,407,65,317.69
Finger Closing,115,407,73,356.79
Finger Closing,116,405,75,366.57
Finger Closing,117,405,76,371.46
Finger Closing,118,406,67,327.47
Finger Closing,119,404,72,351.91
Finger Closing,120,404,71,347.02
Finger Closing,121,404,75,366.57
Finger Closing,122,404,66,322.58
Finger Closing,123,404,58,283.48
Finger Closing,124,401,134,654.94
Finger Closing,125,400,99,483.87
Finger Closing,126,398,85,415.44
Finger Closing,127,397,67,327.47
Finger Closing,128,392,65,317.69
Finger Closing,129,388,57,278.59
Finger Closing,130,385,54,263.93
Finger Closing,131,381,45,219.94
Finger Closing,132,378,41,200.39
Finger Closing,133,377,40,195.5
Finger Closing,134,375,42,205.28
Finger Closing,135,373,40,195.5
Finger Closing,136,373,221,1080.16
Finger Closing,137,371,151,738.03
Finger Closing,138,369,123,601.17
Finger Closing,139,365,88,430.11
Finger Closing,140,363,76,371.46
Finger Closing,141,362,63,307.92
Finger Closing,142,359,104,508.31
Finger Closing,143,355,87,425.22
Finger Closing,144,351,151,738.03
Finger Closing,145,348,110,537.63
Finger Closing,146,346,156,762.46
Finger Closing,147,343,120,586.51
Finger Closing,148,341,171,835.78
Finger Closing,149,339,124,606.06
Finger Closing,150,337,105,513.2
Finger Closing,151,337,89,435
Finger Closing,152,337,92,449.66
Finger Closing,153,341,86,420.33
Finger Closing,154,331,84,410.56
Finger Closing,155,339,96,469.21
Finger Closing,156,336,71,347.02
Finger Closing,157,338,67,327.47
Finger Closing,158,334,55,268.82
Finger Closing,159,343,59,288.37
Finger Closing,160,339,80,391.01
Finger Closing,161,330,112,547.41
Finger Closing,162,330,84,410.56
Finger Closing,163,328,85,415.44
Finger Closing,164,327,77,376.34
Finger Closing,165,326,91,444.77
Finger Closing,166,324,103,503.42
Finger Closing,167,323,84,410.56
Finger Closing,168,322,78,381.23
Finger Closing,169,320,63,307.92
Finger Closing,170,320,59,288.37
Finger Opening,170,319,54,263.93
Finger Opening,169,319,201,982.4
Finger Opening,168,317,197,962.85
Finger Opening,167,317,155,757.58
Finger Opening,166,317,127,620.72
Finger Opening,165,316,100,488.76
Finger Opening,164,317,84,410.56
Finger Opening,163,317,82,400.78
Finger Opening,162,318,142,694.04
Finger Opening,161,318,215,1050.83
Finger Opening,160,320,261,1275.66
Finger Opening,159,317,334,1632.45
Finger Opening,158,321,306,1495.6
Finger Opening,157,322,304,1485.83
Finger Opening,156,322,274,1339.2
Finger Opening,155,321,268,1309.87
Finger Opening,154,328,241,1177.91
Finger Opening,153,325,266,1300.1
Finger Opening,152,326,222,1085.04
Finger Opening,151,328,210,1026.39
Finger Opening,150,332,188,918.87
Finger Opening,149,332,193,943.3
Finger Opening,148,337,175,855.33
Finger Opening,147,340,175,855.33
Finger Opening,146,342,188,918.87
Finger Opening,145,343,175,855.33
Finger Opening,144,345,199,972.63
Finger Opening,143,345,187,913.98
Finger Opening,142,347,204,997.07
Finger Opening,141,348,182,889.54
Finger Opening,140,349,225,1099.71
Finger Opening,139,349,193,943.3
Finger Opening,138,351,270,1319.65
Finger Opening,137,352,221,1080.16
Finger Opening,136,353,258,1261
Finger Opening,135,354,208,1016.62
Finger Opening,134,355,213,1041.06
Finger Opening,133,357,188,918.87
Finger Opening,132,365,200,977.52
Finger Opening,131,360,172,840.66
Finger Opening,130,361,219,1070.38
Finger Opening,129,362,191,933.53
Finger Opening,128,361,210,1026.39
Finger Opening,127,365,212,1036.17
Finger Opening,126,372,217,1060.61
Finger Opening,125,365,244,1192.57
Finger Opening,124,366,210,1026.39
Finger Opening,123,367,220,1075.27
Finger Opening,122,370,195,953.08
Finger Opening,121,374,218,1065.49
Finger Opening,120,372,190,928.64
Finger Opening,119,351,179,874.88
Finger Opening,118,370,176,860.22
Finger Opening,117,373,182,889.54
Finger Opening,116,374,163,796.68
Finger Opening,115,375,154,752.69
Finger Opening,114,377,152,742.91
Finger Opening,113,378,174,850.44
Finger Opening,112,379,161,786.9
Finger Opening,111,380,150,733.14
Finger Opening,110,382,149,728.25
Finger Opening,109,382,153,747.8
Finger Opening,108,383,141,689.15
Finger Opening,107,383,155,757.58
Finger Opening,106,384,162,791.79
Finger Opening,105,385,151,738.03
Finger Opening,104,385,167,816.23
Finger Opening,103,386,153,747.8
Finger Opening,102,387,157,767.35
Finger Opening,101,387,163,796.68
Finger Opening,100,390,149,728.25
Finger Opening,99,389,156,762.46
Finger Opening,98,388,132,645.16
Finger Opening,97,389,144,703.81
Finger Opening,96,389,192,938.42
Finger Opening,95,390,173,845.55
Finger Opening,94,392,253,1236.56
Finger Opening,93,393,192,938.42
Finger Opening,92,394,187,913.98
Finger Opening,91,395,196,957.97
Finger Opening,90,396,186,909.09
Finger Closing,90,397,172,840.66
Finger Closing,91,398,195,953.08
Finger Closing,92,398,210,1026.39
Finger Closing,93,399,212,1036.17
Finger Closing,94,399,207,1011.73
Finger Closing,95,399,172,840.66
Finger Closing,96,399,162,791.79
Finger Closing,97,399,163,796.68
Finger Closing,98,400,136,664.71
Finger Closing,99,400,121,591.4
Finger Closing,100,400,119,581.62
Finger Closing,101,400,113,552.3
Finger Closing,102,399,108,527.86
Finger Closing,103,398,111,542.52
Finger Closing,104,397,111,542.52
Finger Closing,105,397,111,542.52
Finger Closing,106,396,101,493.65
Finger Closing,107,396,98,478.98
Finger Closing,108,396,101,493.65
Finger Closing,109,395,99,483.87
Finger Closing,110,395,99,483.87
Finger Closing,111,394,90,439.88
Finger Closing,112,394,77,376.34
Finger Closing,113,394,66,322.58
Finger Closing,114,393,60,293.26
Finger Closing,115,393,68,332.36
Finger Closing,116,393,60,293.26
Finger Closing,117,393,86,420.33
Finger Closing,118,392,74,361.68
Finger Closing,119,391,73,356.79
Finger Closing,120,391,66,322.58
Finger Closing,121,390,69,337.24
Finger Closing,122,389,58,283.48
Finger Closing,123,389,56,273.7
Finger Closing,124,388,65,317.69
Finger Closing,125,388,68,332.36
Finger Closing,126,387,77,376.34
Finger Closing,127,387,92,449.66
Finger Closing,128,386,105,513.2
Finger Closing,129,386,109,532.75
Finger Closing,130,384,107,522.97
Finger Closing,131,383,128,625.61
Finger Closing,132,382,112,547.41
Finger Closing,133,380,105,513.2
Finger Closing,134,378,96,469.21
Finger Closing,135,373,87,425.22
Finger Closing,136,369,90,439.88
Finger Closing,137,368,122,596.29
Finger Closing,138,369,110,537.63
Finger Closing,139,363,109,532.75
Finger Closing,140,364,107,522.97
