Servo Motion,Servo Position,Flex Value,EMG Value,EMG Voltage
Finger Closing,90,414,516,2521.99
Finger Closing,91,399,686,3352.88
Finger Closing,92,414,584,2854.35
Finger Closing,93,414,512,2502.44
Finger Closing,94,414,551,2693.06
Finger Closing,95,414,983,4804.5
Finger Closing,96,414,984,4809.38
Finger Closing,97,414,983,4804.5
Finger Closing,98,414,984,4809.38
Finger Closing,99,414,984,4809.38
Finger Closing,100,414,984,4809.38
Finger Closing,101,414,984,4809.38
Finger Closing,102,414,984,4809.38
Finger Closing,103,414,984,4809.38
Finger Closing,104,414,983,4804.5
Finger Closing,105,414,983,4804.5
Finger Closing,106,414,984,4809.38
Finger Closing,107,414,983,4804.5
Finger Closing,108,414,984,4809.38
Finger Closing,109,414,984,4809.38
Finger Closing,110,414,984,4809.38
Finger Closing,111,414,984,4809.38
Finger Closing,112,414,984,4809.38
Finger Closing,113,416,984,4809.38
Finger Closing,114,414,985,4814.27
Finger Closing,115,415,984,4809.38
Finger Closing,116,416,984,4809.38
Finger Closing,117,417,983,4804.5
Finger Closing,118,414,984,4809.38
Finger Closing,119,415,984,4809.38
Finger Closing,120,415,984,4809.38
Finger Closing,121,415,983,4804.5
Finger Closing,122,414,956,4672.53
Finger Closing,123,415,963,4706.74
Finger Closing,124,414,984,4809.38
Finger Closing,125,415,983,4804.5
Finger Closing,126,415,984,4809.38
Finger Closing,127,414,984,4809.38
Finger Closing,128,415,973,4755.62
Finger Closing,129,414,984,4809.38
Finger Closing,130,412,985,4814.27
Finger Closing,131,404,984,4809.38
Finger Closing,132,392,985,4814.27
Finger Closing,133,380,983,4804.5
Finger Closing,134,370,984,4809.38
Finger Closing,135,361,984,4809.38
Finger Closing,136,352,975,4765.4
Finger Closing,137,342,984,4809.38
Finger Closing,138,335,984,4809.38
Finger Closing,139,332,984,4809.38
Finger Closing,140,322,984,4809.38
Finger Closing,141,316,985,4814.27
Finger Closing,142,310,983,4804.5
Finger Closing,143,305,913,4462.37
Finger Closing,144,301,983,4804.5
Finger Closing,145,296,984,4809.38
Finger Closing,146,291,983,4804.5
Finger Closing,147,290,984,4809.38
Finger Closing,148,287,984,4809.38
Finger Closing,149,282,984,4809.38
Finger Closing,150,282,984,4809.38
Finger Closing,151,279,984,4809.38
Finger Closing,152,278,983,4804.5
Finger Closing,153,276,984,4809.38
Finger Closing,154,274,983,4804.5
Finger Closing,155,272,984,4809.38
Finger Closing,156,270,985,4814.27
Finger Closing,157,268,985,4814.27
Finger Closing,158,267,984,4809.38
Finger Closing,159,266,980,4789.83
Finger Closing,160,264,984,4809.38
Finger Closing,161,262,984,4809.38
Finger Closing,162,261,984,4809.38
Finger Closing,163,260,984,4809.38
Finger Closing,164,260,984,4809.38
Finger Closing,165,257,983,4804.5
Finger Closing,166,257,984,4809.38
Finger Closing,167,255,984,4809.38
Finger Closing,168,254,984,4809.38
Finger Closing,169,253,984,4809.38
Finger Closing,170,252,984,4809.38
Finger Closing,171,249,984,4809.38
Finger Closing,172,248,985,4814.27
Finger Closing,173,246,984,4809.38
Finger Closing,174,246,984,4809.38
Finger Closing,175,247,984,4809.38
Finger Closing,176,245,984,4809.38
Finger Closing,177,245,984,4809.38
Finger Closing,178,246,984,4809.38
Finger Closing,179,246,984,4809.38
Finger Closing,180,247,984,4809.38
Finger Opening,180,247,984,4809.38
Finger Opening,179,248,984,4809.38
Finger Opening,178,248,984,4809.38
Finger Opening,177,248,984,4809.38
Finger Opening,176,248,984,4809.38
Finger Opening,175,249,985,4814.27
Finger Opening,174,249,984,4809.38
Finger Opening,173,250,984,4809.38
Finger Opening,172,250,985,4814.27
Finger Opening,171,252,985,4814.27
Finger Opening,170,250,984,4809.38
Finger Opening,169,251,984,4809.38
Finger Opening,168,251,984,4809.38
Finger Opening,167,251,983,4804.5
Finger Opening,166,252,984,4809.38
Finger Opening,165,252,984,4809.38
Finger Opening,164,252,984,4809.38
Finger Opening,163,252,984,4809.38
Finger Opening,162,252,984,4809.38
Finger Opening,161,253,983,4804.5
Finger Opening,160,253,855,4178.89
Finger Opening,159,253,878,4291.3
Finger Opening,158,254,874,4271.75
Finger Opening,157,254,873,4266.86
Finger Opening,156,254,983,4804.5
Finger Opening,155,254,984,4809.38
Finger Opening,154,254,983,4804.5
Finger Opening,153,255,983,4804.5
Finger Opening,152,255,984,4809.38
Finger Opening,151,256,984,4809.38
Finger Opening,150,258,984,4809.38
Finger Opening,149,264,984,4809.38
Finger Opening,148,270,985,4814.27
Finger Opening,147,274,977,4775.17
Finger Opening,146,280,825,4032.26
Finger Opening,145,293,842,4115.35
Finger Opening,144,301,740,3616.81
Finger Opening,143,312,984,4809.38
Finger Opening,142,322,955,4667.64
Finger Opening,141,334,983,4804.5
Finger Opening,140,346,983,4804.5
Finger Opening,139,357,984,4809.38
Finger Opening,138,367,983,4804.5
Finger Opening,137,375,984,4809.38
Finger Opening,136,381,954,4662.76
Finger Opening,135,385,836,4086.02
Finger Opening,134,388,925,4521.02
Finger Opening,133,392,985,4814.27
Finger Opening,132,395,983,4804.5
Finger Opening,131,397,984,4809.38
Finger Opening,130,398,984,4809.38
Finger Opening,129,399,984,4809.38
Finger Opening,128,403,984,4809.38
Finger Opening,127,406,984,4809.38
Finger Opening,126,408,985,4814.27
Finger Opening,125,409,984,4809.38
Finger Opening,124,410,984,4809.38
Finger Opening,123,411,984,4809.38
Finger Opening,122,413,984,4809.38
Finger Opening,121,415,984,4809.38
Finger Opening,120,417,984,4809.38
Finger Opening,119,419,984,4809.38
Finger Opening,118,418,984,4809.38
Finger Opening,117,418,984,4809.38
Finger Opening,116,419,984,4809.38
Finger Opening,115,419,984,4809.38
Finger Opening,114,419,985,4814.27
Finger Opening,113,419,984,4809.38
Finger Opening,112,420,984,4809.38
Finger Opening,111,420,984,4809.38
Finger Opening,110,420,984,4809.38
Finger Opening,109,421,983,4804.5
Finger Opening,108,421,984,4809.38
Finger Opening,107,422,984,4809.38
Finger Opening,106,422,984,4809.38
Finger Opening,105,423,983,4804.5
Finger Opening,104,423,984,4809.38
Finger Opening,103,423,985,4814.27
Finger Opening,102,423,984,4809.38
Finger Opening,101,424,984,4809.38
Finger Opening,100,425,984,4809.38
Finger Opening,99,426,984,4809.38
Finger Opening,98,426,984,4809.38
Finger Opening,97,426,984,4809.38
Finger Opening,96,425,984,4809.38
Finger Opening,95,418,985,4814.27
Finger Opening,94,424,984,4809.38
Finger Opening,93,424,984,4809.38
Finger Opening,92,425,984,4809.38
Finger Opening,91,425,984,4809.38
Finger Opening,90,425,984,4809.38
Finger Closing,90,423,984,4809.38
Finger Closing,91,425,984,4809.38
Finger Closing,92,425,984,4809.38
Finger Closing,93,424,985,4814.27
Finger Closing,94,423,984,4809.38
Finger Closing,95,423,985,4814.27
Finger Closing,96,422,985,4814.27
Finger Closing,97,420,984,4809.38
Finger Closing,98,421,984,4809.38
Finger Closing,99,423,984,4809.38
Finger Closing,100,422,984,4809.38
Finger Closing,101,422,984,4809.38
Finger Closing,102,422,984,4809.38
Finger Closing,103,420,984,4809.38
Finger Closing,104,422,984,4809.38
Finger Closing,105,422,984,4809.38
Finger Closing,106,422,984,4809.38
Finger Closing,107,422,985,4814.27
Finger Closing,108,423,984,4809.38
Finger Closing,109,422,984,4809.38
Finger Closing,110,422,898,4389.05
Finger Closing,111,422,983,4804.5
Finger Closing,112,422,984,4809.38
Finger Closing,113,421,984,4809.38
Finger Closing,114,421,985,4814.27
Finger Closing,115,418,983,4804.5
Finger Closing,116,416,984,4809.38
Finger Closing,117,412,984,4809.38
Finger Closing,118,407,984,4809.38
Finger Closing,119,399,984,4809.38
Finger Closing,120,387,984,4809.38
Finger Closing,121,375,984,4809.38
Finger Closing,122,364,984,4809.38
Finger Closing,123,354,985,4814.27
Finger Closing,124,347,984,4809.38
Finger Closing,125,340,984,4809.38
Finger Closing,126,330,985,4814.27
Finger Closing,127,326,984,4809.38
Finger Closing,128,322,984,4809.38
Finger Closing,129,316,984,4809.38
Finger Closing,130,307,984,4809.38
Finger Closing,131,304,983,4804.5
Finger Closing,132,299,984,4809.38
Finger Closing,133,294,984,4809.38
Finger Closing,134,289,984,4809.38
Finger Closing,135,285,978,4780.06
Finger Closing,136,282,984,4809.38
Finger Closing,137,277,983,4804.5
Finger Closing,138,272,984,4809.38
Finger Closing,139,268,984,4809.38
Finger Closing,140,265,983,4804.5
Finger Closing,141,262,984,4809.38
Finger Closing,142,259,984,4809.38
Finger Closing,143,255,984,4809.38
Finger Closing,144,255,984,4809.38
Finger Closing,145,255,985,4814.27
Finger Closing,146,254,984,4809.38
Finger Closing,147,252,984,4809.38
Finger Closing,148,254,966,4721.41
Finger Closing,149,253,984,4809.38
Finger Closing,150,252,985,4814.27
Finger Closing,151,251,983,4804.5
Finger Closing,152,249,984,4809.38
Finger Closing,153,248,983,4804.5
Finger Closing,154,247,984,4809.38
Finger Closing,155,247,984,4809.38
Finger Closing,156,248,984,4809.38
Finger Closing,157,249,983,4804.5
Finger Closing,158,250,983,4804.5
Finger Closing,159,252,984,4809.38
Finger Closing,160,252,983,4804.5
Finger Closing,161,254,984,4809.38
Finger Closing,162,255,984,4809.38
Finger Closing,163,255,984,4809.38
Finger Closing,164,255,984,4809.38
Finger Closing,165,256,984,4809.38
Finger Closing,166,256,983,4804.5
Finger Closing,167,256,984,4809.38
Finger Closing,168,256,984,4809.38
Finger Closing,169,256,983,4804.5
Finger Closing,170,258,984,4809.38
Finger Closing,171,258,984,4809.38
Finger Closing,172,257,984,4809.38
Finger Closing,173,258,984,4809.38
Finger Closing,174,258,984,4809.38
Finger Closing,175,258,984,4809.38
Finger Closing,176,258,984,4809.38
Finger Closing,177,258,984,4809.38
Finger Closing,178,259,984,4809.38
Finger Closing,179,258,984,4809.38
Finger Closing,180,259,984,4809.38
Finger Opening,180,257,985,4814.27
Finger Opening,179,261,984,4809.38
Finger Opening,178,257,984,4809.38
Finger Opening,177,264,984,4809.38
Finger Opening,176,266,984,4809.38
Finger Opening,175,268,984,4809.38
Finger Opening,174,269,984,4809.38
Finger Opening,173,270,984,4809.38
Finger Opening,172,273,984,4809.38
Finger Opening,171,276,984,4809.38
Finger Opening,170,277,984,4809.38
Finger Opening,169,277,984,4809.38
Finger Opening,168,278,984,4809.38
Finger Opening,167,279,984,4809.38
Finger Opening,166,279,984,4809.38
Finger Opening,165,279,985,4814.27
