Servo Motion,Servo Position,Flex Value,EMG Value,EMG Voltage,Time (msec)
Finger Closing,110,397,52,254.15,0
Finger Closing,111,396,60,293.26,0.025
Finger Closing,112,397,58,283.48,0.05
Finger Closing,113,398,58,283.48,0.075
Finger Closing,114,397,58,283.48,0.1
Finger Closing,115,395,61,298.14,0.125
Finger Closing,116,397,54,263.93,0.15
Finger Closing,117,397,46,224.83,0.175
Finger Closing,118,397,53,259.04,0.2
Finger Closing,119,397,46,224.83,0.225
Finger Closing,120,397,50,244.38,0.25
Finger Closing,121,397,52,254.15,0.275
Finger Closing,122,397,57,278.59,0.3
Finger Closing,123,397,59,288.37,0.325
Finger Closing,124,397,60,293.26,0.35
Finger Closing,125,397,57,278.59,0.375
Finger Closing,126,397,62,303.03,0.4
Finger Closing,127,397,59,288.37,0.425
Finger Closing,128,397,55,268.82,0.45
Finger Closing,129,397,48,234.6,0.475
Finger Closing,130,397,46,224.83,0.5
Finger Closing,131,397,42,205.28,0.525
Finger Closing,132,397,53,259.04,0.55
Finger Closing,133,397,55,268.82,0.575
Finger Closing,134,397,60,293.26,0.6
Finger Closing,135,397,56,273.7,0.625
Finger Closing,136,397,54,263.93,0.65
Finger Closing,137,397,54,263.93,0.675
Finger Closing,138,397,60,293.26,0.7
Finger Closing,139,397,58,283.48,0.725
Finger Closing,140,397,64,312.81,0.75
Finger Closing,141,397,56,273.7,0.775
Finger Closing,142,397,50,244.38,0.8
Finger Closing,143,397,45,219.94,0.825
Finger Closing,144,397,53,259.04,0.85
Finger Closing,145,397,49,239.49,0.875
Finger Closing,146,397,57,278.59,0.9
Finger Closing,147,397,59,288.37,0.925
Finger Closing,148,397,66,322.58,0.95
Finger Closing,149,397,60,293.26,0.975
Finger Closing,150,397,59,288.37,1
Finger Closing,151,397,62,303.03,1.025
Finger Closing,152,397,56,273.7,1.05
Finger Closing,153,397,58,283.48,1.075
Finger Closing,154,397,57,278.59,1.1
Finger Closing,155,397,47,229.72,1.125
Finger Closing,156,397,42,205.28,1.15
Finger Closing,157,397,46,224.83,1.175
Finger Closing,158,397,48,234.6,1.2
Finger Closing,159,397,55,268.82,1.225
Finger Closing,160,397,56,273.7,1.25
Finger Closing,161,397,56,273.7,1.275
Finger Closing,162,397,61,298.14,1.3
Finger Closing,163,397,61,298.14,1.325
Finger Closing,164,397,61,298.14,1.35
Finger Closing,165,397,54,263.93,1.375
Finger Closing,166,397,60,293.26,1.4
Finger Closing,167,397,48,234.6,1.425
Finger Closing,168,397,42,205.28,1.45
Finger Closing,169,397,45,219.94,1.475
Finger Closing,170,397,45,219.94,1.5
Finger Closing,171,397,51,249.27,1.525
Finger Closing,172,397,49,239.49,1.55
Finger Closing,173,397,51,249.27,1.575
Finger Closing,174,397,54,263.93,1.6
Finger Closing,175,397,54,263.93,1.625
Finger Closing,176,397,52,254.15,1.65
Finger Closing,177,397,52,254.15,1.675
Finger Closing,178,397,45,219.94,1.7
Finger Closing,179,397,42,205.28,1.725
Finger Closing,180,397,38,185.73,1.75
Finger Opening,180,397,36,175.95,1.775
Finger Opening,179,395,37,180.84,1.8
Finger Opening,178,397,38,185.73,1.825
Finger Opening,177,397,37,180.84,1.85
Finger Opening,176,396,37,180.84,1.875
Finger Opening,175,397,36,175.95,1.9
Finger Opening,174,397,37,180.84,1.925
Finger Opening,173,397,37,180.84,1.95
Finger Opening,172,397,38,185.73,1.975
Finger Opening,171,397,39,190.62,2
Finger Opening,170,396,38,185.73,2.025
Finger Opening,169,397,38,185.73,2.05
Finger Opening,168,397,36,175.95,2.075
Finger Opening,167,397,36,175.95,2.1
Finger Opening,166,397,37,180.84,2.125
Finger Opening,165,397,38,185.73,2.15
Finger Opening,164,397,48,234.6,2.175
Finger Opening,163,397,45,219.94,2.2
Finger Opening,162,394,50,244.38,2.225
Finger Opening,161,396,54,263.93,2.25
Finger Opening,160,397,61,298.14,2.275
Finger Opening,159,397,58,283.48,2.3
Finger Opening,158,397,62,303.03,2.325
Finger Opening,157,397,53,259.04,2.35
Finger Opening,156,397,58,283.48,2.375
Finger Opening,155,397,60,293.26,2.4
Finger Opening,154,397,71,347.02,2.425
Finger Opening,153,398,72,351.91,2.45
Finger Opening,152,397,64,312.81,2.475
Finger Opening,151,397,60,293.26,2.5
Finger Opening,150,397,51,249.27,2.525
Finger Opening,149,397,57,278.59,2.55
Finger Opening,148,395,64,312.81,2.575
Finger Opening,147,397,66,322.58,2.6
Finger Opening,146,397,65,317.69,2.625
Finger Opening,145,397,55,268.82,2.65
Finger Opening,144,397,52,254.15,2.675
Finger Opening,143,397,54,263.93,2.7
Finger Opening,142,397,59,288.37,2.725
Finger Opening,141,397,59,288.37,2.75
Finger Opening,140,397,55,268.82,2.775
Finger Opening,139,397,56,273.7,2.8
Finger Opening,138,397,53,259.04,2.825
Finger Opening,137,397,47,229.72,2.85
Finger Opening,136,397,59,288.37,2.875
Finger Opening,135,397,62,303.03,2.9
Finger Opening,134,397,65,317.69,2.925
Finger Opening,133,397,54,263.93,2.95
Finger Opening,132,396,52,254.15,2.975
Finger Opening,131,397,57,278.59,3
Finger Opening,130,397,70,342.13,3.025
Finger Opening,129,397,62,303.03,3.05
Finger Opening,128,397,62,303.03,3.075
Finger Opening,127,397,53,259.04,3.1
Finger Opening,126,397,58,283.48,3.125
Finger Opening,125,397,49,239.49,3.15
Finger Opening,124,397,45,219.94,3.175
Finger Opening,123,397,45,219.94,3.2
Finger Opening,122,397,64,312.81,3.225
Finger Opening,121,397,56,273.7,3.25
Finger Opening,120,397,51,249.27,3.275
Finger Opening,119,397,59,288.37,3.3
Finger Opening,118,396,64,312.81,3.325
Finger Opening,117,397,69,337.24,3.35
Finger Opening,116,397,63,307.92,3.375
Finger Opening,115,397,56,273.7,3.4
Finger Opening,114,397,57,278.59,3.425
Finger Opening,113,398,150,733.14,3.45
Finger Opening,112,398,118,576.74,3.475
Finger Opening,111,398,103,503.42,3.5
Finger Opening,110,397,79,386.12,3.525
Finger Closing,110,398,62,303.03,3.55
Finger Closing,111,397,55,268.82,3.575
Finger Closing,112,397,50,244.38,3.6
Finger Closing,113,397,49,239.49,3.625
Finger Closing,114,397,71,347.02,3.65
Finger Closing,115,397,68,332.36,3.675
Finger Closing,116,398,76,371.46,3.7
Finger Closing,117,397,79,386.12,3.725
Finger Closing,118,398,106,518.08,3.75
Finger Closing,119,397,97,474.1,3.775
Finger Closing,120,398,86,420.33,3.8
Finger Closing,121,398,86,420.33,3.825
Finger Closing,122,397,104,508.31,3.85
Finger Closing,123,398,113,552.3,3.875
Finger Closing,124,398,123,601.17,3.9
Finger Closing,125,397,107,522.97,3.925
Finger Closing,126,397,123,601.17,3.95
Finger Closing,127,397,129,630.5,3.975
Finger Closing,128,397,144,703.81,4
Finger Closing,129,397,138,674.49,4.025
Finger Closing,130,396,127,620.72,4.05
Finger Closing,131,396,119,581.62,4.075
Finger Closing,132,396,120,586.51,4.1
Finger Closing,133,396,129,630.5,4.125
Finger Closing,134,395,142,694.04,4.15
Finger Closing,135,395,140,684.26,4.175
Finger Closing,136,394,163,796.68,4.2
Finger Closing,137,392,153,747.8,4.225
Finger Closing,138,392,145,708.7,4.25
Finger Closing,139,390,128,625.61,4.275
Finger Closing,140,387,142,694.04,4.3
Finger Closing,141,389,123,601.17,4.325
Finger Closing,142,389,131,640.27,4.35
Finger Closing,143,387,118,576.74,4.375
Finger Closing,144,386,113,552.3,4.4
Finger Closing,145,384,101,493.65,4.425
Finger Closing,146,383,115,562.07,4.45
Finger Closing,147,382,98,478.98,4.475
Finger Closing,148,377,104,508.31,4.5
Finger Closing,149,374,105,513.2,4.525
Finger Closing,150,372,102,498.53,4.55
