Servo Motion,Servo Position,EMG Value,EMG Voltage,Flex Value
Finger Closing,90,277,1353.86,450
Finger Closing,91,319,1559.14,450
Finger Closing,92,292,1427.17,453
Finger Closing,93,261,1275.66,450
Finger Closing,94,211,1031.28,450
Finger Closing,95,227,1109.48,450
Finger Closing,96,283,1383.19,453
Finger Closing,97,350,1710.66,450
Finger Closing,98,433,2116.32,450
Finger Closing,99,491,2399.8,449
Finger Closing,100,523,2556.21,449
Finger Closing,101,605,2956.99,448
Finger Closing,102,715,3494.62,448
Finger Closing,103,575,2810.36,447
Finger Closing,104,525,2565.98,445
Finger Closing,105,453,2214.08,438
Finger Closing,106,327,1598.24,447
Finger Closing,107,339,1656.89,446
Finger Closing,108,423,2067.45,446
Finger Closing,109,350,1710.66,446
Finger Closing,110,285,1392.96,447
Finger Closing,111,229,1119.26,446
Finger Closing,112,202,987.29,446
Finger Closing,113,302,1476.05,446
Finger Closing,114,557,2722.39,445
Finger Closing,115,976,4770.28,445
Finger Closing,116,984,4809.38,444
Finger Closing,117,984,4809.38,443
Finger Closing,118,984,4809.38,443
Finger Closing,119,984,4809.38,442
Finger Closing,120,984,4809.38,441
Finger Closing,121,984,4809.38,440
Finger Closing,122,984,4809.38,440
Finger Closing,123,984,4809.38,439
Finger Closing,124,984,4809.38,438
Finger Closing,125,984,4809.38,438
Finger Closing,126,984,4809.38,437
Finger Closing,127,984,4809.38,435
Finger Closing,128,984,4809.38,433
Finger Closing,129,984,4809.38,430
Finger Closing,130,984,4809.38,427
Finger Closing,131,984,4809.38,424
Finger Closing,132,985,4814.27,422
Finger Closing,133,899,4393.94,419
Finger Closing,134,783,3826.98,420
Finger Closing,135,645,3152.49,418
Finger Closing,136,603,2947.21,415
Finger Closing,137,756,3695.01,414
Finger Closing,138,655,3201.37,411
Finger Closing,139,612,2991.2,409
Finger Closing,140,701,3426.2,410
Finger Closing,141,649,3172.04,411
Finger Closing,142,590,2883.68,410
Finger Closing,143,636,3108.5,410
Finger Closing,144,515,2517.11,408
Finger Closing,145,448,2189.64,406
Finger Closing,146,406,1984.36,405
Finger Closing,147,610,2981.43,404
Finger Closing,148,904,4418.38,402
Finger Closing,149,984,4809.38,403
Finger Closing,150,985,4814.27,401
Finger Closing,151,985,4814.27,400
Finger Closing,152,985,4814.27,395
Finger Closing,153,985,4814.27,391
Finger Closing,154,985,4814.27,389
Finger Closing,155,985,4814.27,387
Finger Closing,156,984,4809.38,385
Finger Closing,157,985,4814.27,383
Finger Closing,158,985,4814.27,382
Finger Closing,159,985,4814.27,380
Finger Closing,160,985,4814.27,378
Finger Closing,161,985,4814.27,377
Finger Closing,162,985,4814.27,376
Finger Closing,163,856,4183.77,375
Finger Closing,164,830,4056.7,374
Finger Closing,165,645,3152.49,376
Finger Closing,166,506,2473.12,374
Finger Closing,167,457,2233.63,373
Finger Closing,168,471,2302.05,373
Finger Closing,169,513,2507.33,372
Finger Opening,170,472,2306.94,372
Finger Opening,170,365,1783.97,370
Finger Opening,169,346,1691.1,371
Finger Opening,168,509,2487.78,369
Finger Opening,167,464,2267.84,368
Finger Opening,166,372,1818.18,368
Finger Opening,165,337,1647.12,367
Finger Opening,164,355,1735.09,365
Finger Opening,163,318,1554.25,364
Finger Opening,162,285,1392.96,364
Finger Opening,161,295,1441.84,364
Finger Opening,160,305,1490.71,363
Finger Opening,159,463,2262.95,363
Finger Opening,158,561,2741.94,364
Finger Opening,157,537,2624.63,365
Finger Opening,156,516,2521.99,366
Finger Opening,155,477,2331.38,367
Finger Opening,154,551,2693.06,369
Finger Opening,153,438,2140.76,370
Finger Opening,152,432,2111.44,373
Finger Opening,151,562,2746.82,374
Finger Opening,150,744,3636.36,378
Finger Opening,149,762,3724.34,379
Finger Opening,148,652,3186.71,386
Finger Opening,147,573,2800.59,390
Finger Opening,146,584,2854.35,392
Finger Opening,145,792,3870.97,394
Finger Opening,144,791,3866.08,397
Finger Opening,143,729,3563.05,401
Finger Opening,142,705,3445.75,407
Finger Opening,141,611,2986.31,406
Finger Opening,140,634,3098.73,408
Finger Opening,139,558,2727.27,409
Finger Opening,138,602,2942.33,411
Finger Opening,137,641,3132.94,415
Finger Opening,136,805,3934.51,420
Finger Opening,135,984,4809.38,425
Finger Opening,134,984,4809.38,439
Finger Opening,133,984,4809.38,431
Finger Opening,132,984,4809.38,434
Finger Opening,131,984,4809.38,439
Finger Opening,130,984,4809.38,440
Finger Opening,129,984,4809.38,442
Finger Opening,128,984,4809.38,443
Finger Opening,127,984,4809.38,444
Finger Opening,126,984,4809.38,445
Finger Opening,125,984,4809.38,447
Finger Opening,124,984,4809.38,448
Finger Opening,123,984,4809.38,447
Finger Opening,122,984,4809.38,447
Finger Opening,121,984,4809.38,448
Finger Opening,120,984,4809.38,449
Finger Opening,119,984,4809.38,450
Finger Opening,118,984,4809.38,452
Finger Opening,117,984,4809.38,452
Finger Opening,116,984,4809.38,453
Finger Opening,115,984,4809.38,454
Finger Opening,114,984,4809.38,453
Finger Opening,113,984,4809.38,451
Finger Opening,112,984,4809.38,457
Finger Opening,111,984,4809.38,452
Finger Opening,110,984,4809.38,453
Finger Opening,109,984,4809.38,453
Finger Opening,108,984,4809.38,451
Finger Opening,107,984,4809.38,451
Finger Opening,106,984,4809.38,452
Finger Opening,105,984,4809.38,452
Finger Opening,104,926,4525.9,452
Finger Opening,103,731,3572.82,458
Finger Opening,102,715,3494.62,454
Finger Opening,101,689,3367.55,453
Finger Opening,100,633,3093.84,447
Finger Opening,99,533,2605.08,459
Finger Opening,98,481,2350.93,460
Finger Opening,97,429,2096.77,460
Finger Opening,96,324,1583.58,460
Finger Opening,95,343,1676.44,460
Finger Opening,94,364,1779.08,460
Finger Opening,93,374,1827.96,460
Finger Opening,92,321,1568.91,460
Finger Opening,91,411,2008.8,461
Finger Closing,90,350,1710.66,459
Finger Closing,90,341,1666.67,459
Finger Closing,91,336,1642.23,458
Finger Closing,92,306,1495.6,455
Finger Closing,93,366,1788.86,445
Finger Closing,94,604,2952.1,450
Finger Closing,95,974,4760.51,451
Finger Closing,96,984,4809.38,445
Finger Closing,97,985,4814.27,449
Finger Closing,98,984,4809.38,452
Finger Closing,99,985,4814.27,454
Finger Closing,100,984,4809.38,455
Finger Closing,101,985,4814.27,457
Finger Closing,102,985,4814.27,458
Finger Closing,103,985,4814.27,460
Finger Closing,104,985,4814.27,461
Finger Closing,105,985,4814.27,462
Finger Closing,106,985,4814.27,462
Finger Closing,107,985,4814.27,463
Finger Closing,108,985,4814.27,464
Finger Closing,109,985,4814.27,466
Finger Closing,110,985,4814.27,466
Finger Closing,111,985,4814.27,466
Finger Closing,112,985,4814.27,467
Finger Closing,113,985,4814.27,467
Finger Closing,114,985,4814.27,469
Finger Closing,115,984,4809.38,467
Finger Closing,116,984,4809.38,467
Finger Closing,117,984,4809.38,468
Finger Closing,118,984,4809.38,468
Finger Closing,119,984,4809.38,467
Finger Closing,120,984,4809.38,468
Finger Closing,121,984,4809.38,467
Finger Closing,122,984,4809.38,467
Finger Closing,123,984,4809.38,467
Finger Closing,124,984,4809.38,466
Finger Closing,125,984,4809.38,465
Finger Closing,126,984,4809.38,465
Finger Closing,127,984,4809.38,464
Finger Closing,128,984,4809.38,463
Finger Closing,129,984,4809.38,463
Finger Closing,130,984,4809.38,461
Finger Closing,131,984,4809.38,459
Finger Closing,132,984,4809.38,457
Finger Closing,133,984,4809.38,454
Finger Closing,134,984,4809.38,452
Finger Closing,135,984,4809.38,451
Finger Closing,136,984,4809.38,452
Finger Closing,137,984,4809.38,449
Finger Closing,138,984,4809.38,449
Finger Closing,139,984,4809.38,449
Finger Closing,140,984,4809.38,450
Finger Closing,141,984,4809.38,448
Finger Closing,142,985,4814.27,448
Finger Closing,143,960,4692.08,447
Finger Closing,144,899,4393.94,446
Finger Closing,145,718,3509.29,445
Finger Closing,146,776,3792.77,445
Finger Closing,147,985,4814.27,442
Finger Closing,148,985,4814.27,440
Finger Closing,149,985,4814.27,437
Finger Closing,150,984,4809.38,436
Finger Closing,151,985,4814.27,430
Finger Closing,152,983,4804.5,439
Finger Closing,153,985,4814.27,428
Finger Closing,154,985,4814.27,424
Finger Closing,155,985,4814.27,417
Finger Closing,156,985,4814.27,415
Finger Closing,157,985,4814.27,407
Finger Closing,158,985,4814.27,400
Finger Closing,159,985,4814.27,391
Finger Closing,160,984,4809.38,378
Finger Closing,161,985,4814.27,374
Finger Closing,162,985,4814.27,367
Finger Closing,163,985,4814.27,359
Finger Closing,164,985,4814.27,355
Finger Closing,165,985,4814.27,350
Finger Closing,166,985,4814.27,345
Finger Closing,167,985,4814.27,341
Finger Closing,168,985,4814.27,337
Finger Closing,169,985,4814.27,335
Finger Opening,170,984,4809.38,335
Finger Opening,170,985,4814.27,335
Finger Opening,169,985,4814.27,336
Finger Opening,168,985,4814.27,337
Finger Opening,167,985,4814.27,338
Finger Opening,166,985,4814.27,339
Finger Opening,165,984,4809.38,339
Finger Opening,164,985,4814.27,340
Finger Opening,163,985,4814.27,341
